KPI,SH_code,Sütun,KPI_Adı,Tanım/Not,KPI_Tipi,Birim,Hedef Yönü,Formül (öneri),Veri Kaynağı (öneri),Raporlama Sıklığı (öneri),Sorumlu Rol (öneri)
1,SH1.1,Etkİ/ekosİstem (Dış Etki),1. Hedef Bölge İmalat Sanayi Ort. Dönüşüm Farkındalık Artış Oranı,"Yalın, dijital, yeşil ve dirençlilik konularında yapılan anketlerle ölçülen algı değişimi.",Sonuç (Outcome),%,↑ daha iyi,,Manuel Kayıt / Proje Takip,Çeyreklik,Sahip Atanacak
2,SH1.1,Etkİ/ekosİstem (Dış Etki),2. Ortak farkındalık etkinliği düzenlenen kilit kurum sayısı,"OSB, sanayi odası gibi stratejik paydaşlarla yapılan etkinlik sayısı.",Çıktı (Output),adet,↑ daha iyi,,Manuel Kayıt / Proje Takip,Çeyreklik,Kurumsal İletişim/CRM
3,SH1.2,Etkİ/ekosİstem (Dış Etki),3. Model Fabrika programlarına katılanların ilgili alanlarda istihdam olma oranı,Mezunların başarısını ölçer.,Sonuç (Outcome),%,↑ daha iyi,İstihdam Oranı (%) = 100 × (İlgili Alanlarda İstihdam Edilen Mezun / Toplam Mezun),HRIS / Anket,Çeyreklik,Sahip Atanacak
4,SH1.2,Etkİ/ekosİstem (Dış Etki),4. Verilen toplam eğitim (kişi*saat) miktarı,Eğitim faaliyetlerinin toplam hacmini gösterir.,Sonuç (Outcome),₺,↑ daha iyi,Toplam Eğitim (kişi*saat) = Katılımcı Sayısı × Eğitim Süresi (saat),LMS / Eğitim Kayıtları,Aylık,Eğitim/Program Koordinatörü
5,SH1.3,Etkİ/ekosİstem (Dış Etki),5. Yönlendirme sonucu destek programlarından yararlanan KOBİ sayısı,Yapılan yönlendirmenin somut bir projeye ve finansal kaynağa dönüştüğünü gösterir.,Çıktı (Output),adet,↑ daha iyi,,CRM & Proje Takip,Çeyreklik,Sahip Atanacak
6,SH1.4,Etkİ/ekosİstem (Dış Etki),"6. İleri teknoloji, yeşil ve/veya dirençli üretim projelerinin tamamlanma sonrası KOBİ bünyesinde sürdürülebilirlik oranı",Projenin kalıcı bir etki yaratıp yaratmadığını ölçer.,Sonuç (Outcome),%,↑ daha iyi,,CRM & Proje Takip,Çeyreklik,Sahip Atanacak
7,SH1.4,Etkİ/ekosİstem (Dış Etki),7. İleri teknolojiler ve yeşil üretim uygulamaları ile sağlanan ortalama karbon emisyonu azalış oranı,Yeşil dönüşümün en somut ve ölçülebilir çıktısıdır.,Sonuç (Outcome),%,↓ daha iyi,CO₂e Azalış (%) = 100 × (Baz Dönem Emisyon − Cari Emisyon) / Baz Dönem Emisyon,Enerji/Çevre İzleme (EMS),Çeyreklik,Sahip Atanacak
8,SH1.5,Etkİ/ekosİstem (Dış Etki),"8. Yalın, dijital, yeşil dönüşüm veya dirençlilik alanında belirli bir olgunluk seviyesine ulaşan KOBİ sayısı",MF müdahalesinin KOBİ'yi ne kadar ileri taşıdığını gösterir.,Çıktı (Output),adet,↑ daha iyi,Olgunluk Eşik Üstü KOBİ Sayısı = Eşik değeri geçen KOBİ adedi,Olgunluk Araçları (SIRI/DDX) & Sistem Logları,Çeyreklik,Operasyon Kalite Mühendisi
9,SH1.6,Etkİ/ekosİstem (Dış Etki),9. Birden fazla temel dönüşüm alanında (bütüncül) hizmet alan KOBİ oranı,KOBİ'lerle kurulan ilişkinin derinliğini ve bütüncül dönüşüm vizyonuna uyumu gösterir.,Sonuç (Outcome),%,↑ daha iyi,,CRM & Proje Takip,Çeyreklik,Sahip Atanacak
10,SH1.6,Etkİ/ekosİstem (Dış Etki),Yalın dönüşüm odaklı Öğren-Dönüş Programını tamamlayan KOBİ sayısı,Model Fabrikaların amiral gemisi hizmetinin doğrudan performansını ölçer.,Çıktı (Output),adet,↑ daha iyi,Tamamlayan KOBİ Sayısı = Programı başarıyla bitiren KOBİ adedi,CRM & Proje Takip,Çeyreklik,Eğitim/Program Koordinatörü
11,SH2.1,Finansal Sürdürülebilirlik,Kârlılık oranı,Tüm gelir ve gider kalemlerinin net sonucunu gösteren en temel finansal sağlık göstergesidir.,Sonuç (Outcome),%,↑ daha iyi,Kârlılık (%) = 100 × (Net Kâr / Net Satışlar),ERP/Muhasebe,Çeyreklik,Finans Sorumlusu
12,SH2.1,Finansal Sürdürülebilirlik,Ortalama yıllık gelir artış oranı,Fabrikanın pazardaki büyüme ve kabul görme hızını gösterir.,Sonuç (Outcome),%,↑ daha iyi,Gelir Artış Oranı (%) = 100 × (Cari Yıl Gelir − Önceki Yıl Gelir) / Önceki Yıl Gelir,ERP/Muhasebe,Çeyreklik,Finans Sorumlusu
13,SH2.2,Finansal Sürdürülebilirlik,Yıllık gelir ve gider bütçesine genel uyum oranı (%),Planlama ve finansal disiplin yeteneğini bir bütün olarak ölçer.,Sonuç (Outcome),%,↑ daha iyi,Bütçe Uyum (%) = 100 × (Fiili Harcama / Bütçe) (± tolerans),ERP/Muhasebe,Çeyreklik,Finans Sorumlusu
14,SH2.3,Finansal Sürdürülebilirlik,Yeni KOBİ müşteri kazanım sayısı,Fabrikanın pazarlama ve satış faaliyetlerinin ne kadar başarılı olduğunu gösterir.,Çıktı (Output),adet,↑ daha iyi,Yeni KOBİ = İlk kez hizmet alan KOBİ adedi,CRM & Proje Takip,Çeyreklik,Sahip Atanacak
15,SH2.3,Finansal Sürdürülebilirlik,KOBİ başına ortalama faturalandırılan hizmet geliri,Müşterilerden yaratılan ortalama değeri ve hizmetlerin derinliğini gösterir.,Sonuç (Outcome),₺,↑ daha iyi,,ERP/Muhasebe,Çeyreklik,Finans Sorumlusu
16,SH2.4,Finansal Sürdürülebilirlik,MF operasyonel maliyetlerinin öz gelirle karşılanma oranı,Mali dayanıklılığın ve kamu kaynaklarına bağımlılığın azalmasının en net göstergesidir.,Sonuç (Outcome),%,↑ daha iyi,,ERP/Muhasebe,Çeyreklik,Finans Sorumlusu
17,SH2.4,Finansal Sürdürülebilirlik,Yıllık başlatılan yeni gelir getirici hizmet sayısı,Fabrikanın pazar ihtiyaçlarına ne kadar dinamik yanıt verdiğini ve inovasyon yaptığını gösterir.,Sonuç (Outcome),₺,↑ daha iyi,Yeni Hizmet Sayısı = Yıl içinde lansmanı yapılan ücretli hizmet adedi,ERP/Muhasebe,Çeyreklik,Finans Sorumlusu
18,SH2.5,Finansal Sürdürülebilirlik,Dış finansman ile sağlanan kaynağın toplam miktarı,Proje geliştirme ve fon bulma kapasitesinin nihai sonucudur.,Çıktı (Output),₺,↑ daha iyi,Dış Kaynak (₺) = Projelerden sağlanan toplam fon,ERP/Muhasebe,Çeyreklik,Finans Sorumlusu
19,SH4.8,"Paydaş, İtibar & İşbirliği",Personel elde tutma oranı (yıllık),,Sonuç (Outcome),%,↑ daha iyi,Elde Tutma (%) = 100 × (Dönem Sonu Çalışan − Dönem İçinde Ayrılan) / Dönem Başı Çalışan,HRIS / Anket,Çeyreklik,İK Sorumlusu
20,SH3.1,Kurumsal Yetkinlik & Operasyon,Çalışan başına yıllık ortalama eğitim süresi (saat),Kurumun insan kaynağına yatırım yapma taahhüdünü gösterir.,Süreç (Process),saat/kişi,↓ daha iyi,,LMS / Eğitim Kayıtları,Aylık,Eğitim/Program Koordinatörü
21,SH3.2,Kurumsal Yetkinlik & Operasyon,Performans değerlendirme sürecine dahil edilen personel oranı,Kurumsallaşmış ve adil bir İK sisteminin varlığını gösterir.,Sonuç (Outcome),%,↓ daha iyi,,HRIS / Anket,Çeyreklik,İK Sorumlusu
22,SH3.3,Kurumsal Yetkinlik & Operasyon,Genel Ekipman Etkinliği (OEE) veya benzeri bir etkinlik göstergesi,Fiziksel altyapının ne kadar verimli ve hazır olduğunu ölçen standart bir endüstri metriğidir.,Sonuç (Outcome),%,↑ daha iyi,OEE (%) = Kullanılabilirlik × Performans × Kalite,QMS/MES/Denetim Raporları,Aylık,Operasyon Kalite Mühendisi
23,SH3.4,Kurumsal Yetkinlik & Operasyon,"İç ve dış denetimlerden (mali, idari, yasal) alınan uygunsuzluk/ikaz sayısı",Kurumsal yönetişim kalitesini ve risk yönetimini doğrudan ölçer.,Çıktı (Output),adet,↓ daha iyi,Uygunsuzluk Sayısı = İç + Dış denetim bulguları toplamı,QMS/MES/Denetim Raporları,Aylık,Operasyon Kalite Mühendisi
24,SH3.5,Kurumsal Yetkinlik & Operasyon,Stratejik amaç ve hedeflere genel ulaşma oranı (%),Kurumun planlama ve uygulama kapasitesinin en üst düzeydeki özetidir.,Sonuç (Outcome),%,↑ daha iyi,,Manuel Kayıt / Proje Takip,Çeyreklik,Sahip Atanacak
25,SH3.6,Kurumsal Yetkinlik & Operasyon,"Ulusal/uluslararası kabul görmüş kalite ve mükemmellik standartlarına yönelik alınan belge/akreditasyon sayısı (ISO, EFQM vb.)",Sürekli iyileştirme çabasının dış bir otorite tarafından tescilidir.,Süreç (Process),gün/saat,↓ daha iyi,Belge/AKR Sayısı = Yıl içinde alınan geçerli sertifikalar,QMS/MES/Denetim Raporları,Çeyreklik,Operasyon Kalite Mühendisi
26,SH3.6,Kurumsal Yetkinlik & Operasyon,Çalışan başına düşen onaylanmış iyileştirme önerisi sayısı,Sürekli iyileştirme kültürünün tabana ne kadar yayıldığını gösterir.,Süreç (Process),gün/saat,↓ daha iyi,Öneri Sayısı (kişi başı) = Onaylanan Öneri / Toplam Çalışan,HRIS / Anket,Çeyreklik,İK Sorumlusu
27,SH3.7,Kurumsal Yetkinlik & Operasyon,"Temel iş süreçlerini (CRM, ERP, LMS vb.) destekleyen bütünleşik dijital platformların kullanım oranı (%)",Kurumun kendi operasyonlarını ne kadar dijitalleştirdiğini gösterir.,Sonuç (Outcome),%,↓ daha iyi,Kullanım Oranı (%) = 100 × (Aktif Kullanıcı / Toplam Kullanıcı),Olgunluk Araçları (SIRI/DDX) & Sistem Logları,Aylık,Sahip Atanacak
28,SH3.8,Kurumsal Yetkinlik & Operasyon,Diğer MF'ler tarafından benimsenen/uyarlanan en iyi uygulama (iyi pratik) sayısı,"Bir MF'nin sadece kendi başarısını değil, tüm ağa olan katkısını ölçer.",Çıktı (Output),adet,↑ daha iyi,,Manuel Kayıt / Proje Takip,Çeyreklik,Sahip Atanacak
29,SH4.1,"Paydaş, İtibar & İşbirliği",Paydaş geri bildirimlerinin dikkate alınarak iyileştirme yapılan süreç/hizmet sayısı,"Geri bildirimin sadece toplandığını değil, bir eyleme dönüştüğünü gösterir.",Süreç (Process),gün/saat,↓ daha iyi,,Anket & Medya İzleme & CRM,Aylık,Kurumsal İletişim/CRM
30,SH4.2,"Paydaş, İtibar & İşbirliği",Hedef kitledeki MF marka tanınırlık oranı (%),Marka faaliyetlerinin ne kadar başarılı olduğunun doğrudan ölçümüdür. Anketlerle belirlenir.,Sonuç (Outcome),%,↑ daha iyi,Tanınırlık (%) = Ankette MF’yi tanıyanlar / Toplam Hedef Kitle × 100,Anket & Medya İzleme & CRM,Çeyreklik,Kurumsal İletişim/CRM
31,SH4.2,"Paydaş, İtibar & İşbirliği","Yazılı, görsel ve dijital medyada MF'ler hakkında çıkan olumlu haber/içerik sayısı",Marka itibarının ve kamuoyu algısının bir göstergesidir.,Çıktı (Output),adet,↑ daha iyi,Olumlu İçerik Sayısı = Medya izleme raporlarında pozitif haber adedi,Anket & Medya İzleme & CRM,Çeyreklik,Kurumsal İletişim/CRM
32,SH4.3,"Paydaş, İtibar & İşbirliği",Hizmet verilen kurumlarda MF müdahaleleri sonucu elde edilen ortalama verimlilik artışı (%),Müşteri memnuniyetinin en somut ve nicel kanıtıdır.,Sonuç (Outcome),%,↑ daha iyi,Verimlilik Artışı (%) = 100 × (Çıktı/İşgücü veya Çıktı/Kaynak) Cari − Baz / Baz,HRIS / Anket,Aylık,Operasyon Kalite Mühendisi
33,SH4.3,"Paydaş, İtibar & İşbirliği",Hizmetleri tavsiye etme oranı (Net Promoter Score - NPS veya benzeri),Müşteri sadakatinin ve memnuniyetinin en standart ve güçlü ölçütüdür.,Sonuç (Outcome),NPS skoru,↑ daha iyi,NPS = %Destekleyen − %Eleştiren,HRIS / Anket,Aylık,Kurumsal İletişim/CRM
34,SH4.3,"Paydaş, İtibar & İşbirliği",Tekrar hizmet alan veya farklı bir hizmet için MF'ye başvuran KOBİ oranı,Müşteri bağlılığının ve hizmetin değerinin en net göstergesidir.,Sonuç (Outcome),%,↑ daha iyi,,HRIS / Anket,Aylık,Kurumsal İletişim/CRM
35,SH4.4,"Paydaş, İtibar & İşbirliği",Çalışan Memnuniyet Oranı / Çalışan Bağlılığı Endeksi,Kurumun iç sağlığının ve motivasyon düzeyinin en temel ölçütüdür.,Sonuç (Outcome),%,↑ daha iyi,,HRIS / Anket,Çeyreklik,İK Sorumlusu
36,SH4.5,"Paydaş, İtibar & İşbirliği",Sosyal sorumluluk projeleri/faaliyetleri kapsamında fayda sağlanan toplum bireylerinin sayısı,Yürütülen faaliyetlerin toplumsal etkisinin nicel ölçüsüdür.,Çıktı (Output),adet,↑ daha iyi,Fayda Sağlanan Kişi = Etkinlik katılımcıları + program yararlanıcıları,Manuel Kayıt / Proje Takip,Çeyreklik,Sahip Atanacak
37,SH4.6,"Paydaş, İtibar & İşbirliği",MF hizmetlerinden yararlanıp Verimlilik Proje Ödülleri'nde (veya benzeri platformlarda) ödül/derece alan işletme sayısı,MF'nin yarattığı etkinin en üst düzeyde tescilidir.,Çıktı (Output),adet,↑ daha iyi,,QMS/MES/Denetim Raporları,Aylık,Operasyon Kalite Mühendisi
38,SH4.7,"Paydaş, İtibar & İşbirliği",Üniversiteler ve araştırma kuruluşları ile yürütülen aktif ortak proje sayısı,"İşbirliğinin sadece kağıt üzerinde kalmadığını, somut projelere dönüştüğünü gösterir.",Çıktı (Output),adet,↑ daha iyi,Aktif Ortak Proje Sayısı = Proje takip sistemindeki açık proje adedi,Manuel Kayıt / Proje Takip,Çeyreklik,Sahip Atanacak
39,SH4.7,"Paydaş, İtibar & İşbirliği","Ortaklaşa geliştirilen/yayınlanan yeni ürün/hizmet, metodoloji veya bilimsel yayın sayısı",İşbirliğinin somut ve yenilikçi bir çıktıya dönüştüğünü gösterir.,Çıktı (Output),adet,↑ daha iyi,,Manuel Kayıt / Proje Takip,Çeyreklik,Sahip Atanacak
40,SH4.8,"Paydaş, İtibar & İşbirliği",Aktif uluslararası kurum/Model Fabrika benzeri yapılarla stratejik ortaklık/işbirliği sayısı,Uluslararası ağa entegrasyon seviyesini gösterir.,Çıktı (Output),adet,↑ daha iyi,Aktif Ortak Proje Sayısı = Proje takip sistemindeki açık proje adedi,Manuel Kayıt / Proje Takip,Çeyreklik,Sahip Atanacak
41,SH4.8,"Paydaş, İtibar & İşbirliği",Uluslararası kabul görmüş göstergelere göre yapılan karşılaştırmalı (benchmark) analiz sayısı,Kurumun kendini uluslararası düzeyde ölçme ve geliştirme taahhüdünü gösterir.,Çıktı (Output),adet,↑ daha iyi,Benchmark Analiz Sayısı = Uluslararası referanslı karşılaştırma çalışma adedi,Manuel Kayıt / Proje Takip,Çeyreklik,Sahip Atanacak