KPI,Hizmet Ailesi
1,Farkındalık/Etkinlik
1,İletişim/Marka/CRM
2,Farkındalık/Etkinlik
2,İletişim/Marka/CRM
3,Eğitim (LMS)
3,Kurumsal Operasyon (İK/Finans/Kalite)
4,Eğitim (LMS)
4,Kurumsal Operasyon (İK/Finans/Kalite)
5,Danışmanlık/Proje Uygulama
5,Dijital Dönüşüm (SIRI/DDX/MES)
6,Öğren‑Dönüş (Yalın)
6,Dijital Dönüşüm (SIRI/DDX/MES)
6,Danışmanlık/Proje Uygulama
7,Öğren‑Dönüş (Yalın)
7,Dijital Dönüşüm (SIRI/DDX/MES)
7,Danışmanlık/Proje Uygulama
8,Öğren‑Dönüş (Yalın)
8,Dijital Dönüşüm (SIRI/DDX/MES)
8,Danışmanlık/Proje Uygulama
9,Öğren‑Dönüş (Yalın)
9,Dijital Dönüşüm (SIRI/DDX/MES)
9,Danışmanlık/Proje Uygulama
10,Öğren‑Dönüş (Yalın)
10,Dijital Dönüşüm (SIRI/DDX/MES)
10,Danışmanlık/Proje Uygulama
11,Kurumsal Operasyon (İK/Finans/Kalite)
12,Kurumsal Operasyon (İK/Finans/Kalite)
13,Kurumsal Operasyon (İK/Finans/Kalite)
14,Kurumsal Operasyon (İK/Finans/Kalite)
15,Kurumsal Operasyon (İK/Finans/Kalite)
16,Kurumsal Operasyon (İK/Finans/Kalite)
17,Kurumsal Operasyon (İK/Finans/Kalite)
18,Kurumsal Operasyon (İK/Finans/Kalite)
19,Kurumsal Operasyon (İK/Finans/Kalite)
20,Kurumsal Operasyon (İK/Finans/Kalite)
21,Kurumsal Operasyon (İK/Finans/Kalite)
22,Öğren‑Dönüş (Yalın)
22,Dijital Dönüşüm (SIRI/DDX/MES)
23,Kurumsal Operasyon (İK/Finans/Kalite)
24,Kurumsal Operasyon (İK/Finans/Kalite)
25,Kurumsal Operasyon (İK/Finans/Kalite)
26,Kurumsal Operasyon (İK/Finans/Kalite)
27,Kurumsal Operasyon (İK/Finans/Kalite)
28,Kurumsal Operasyon (İK/Finans/Kalite)
29,İletişim/Marka/CRM
29,Danışmanlık/Proje Uygulama
30,İletişim/Marka/CRM
30,Danışmanlık/Proje Uygulama
31,İletişim/Marka/CRM
31,Danışmanlık/Proje Uygulama
32,İletişim/Marka/CRM
32,Danışmanlık/Proje Uygulama
33,İletişim/Marka/CRM
33,Danışmanlık/Proje Uygulama
34,İletişim/Marka/CRM
34,Danışmanlık/Proje Uygulama
35,Kurumsal Operasyon (İK/Finans/Kalite)
35,İletişim/Marka/CRM
36,Kurumsal Operasyon (İK/Finans/Kalite)
36,İletişim/Marka/CRM
37,Danışmanlık/Proje Uygulama
38,İşbirliği/Ar‑Ge
39,İşbirliği/Ar‑Ge
40,İşbirliği/Ar‑Ge
40,İletişim/Marka/CRM
41,İşbirliği/Ar‑Ge
41,İletişim/Marka/CRM