Model Fabrika,Durum,Pillar,Base,Composite_Factor,Raw,Sum,Pillar_Weight
Ankara,Aktif,SH1,0.2,1.009961444,0.201992289,0.979361444,0.20624897
Ankara,Aktif,SH2,0.25,0.946961444,0.236740361,0.979361444,0.241729305
Ankara,Aktif,SH3,0.35,0.982961444,0.344036505,0.979361444,0.351286553
Ankara,Aktif,SH4,0.2,0.982961444,0.196592289,0.979361444,0.200735173
Bursa,Aktif,SH1,0.2,1.033937852,0.20678757,0.996537852,0.207505987
Bursa,Aktif,SH2,0.25,0.956937852,0.239234463,0.996537852,0.240065606
Bursa,Aktif,SH3,0.35,1.000937852,0.350328248,0.996537852,0.35154535
Bursa,Aktif,SH4,0.2,1.000937852,0.20018757,0.996537852,0.200883057
Gaziantep,Aktif,SH1,0.2,1.018949635,0.203789927,0.981549635,0.207620603
Gaziantep,Aktif,SH2,0.25,0.941949635,0.235487409,0.981549635,0.239913908
Gaziantep,Aktif,SH3,0.35,0.985949635,0.345082372,0.981549635,0.351568948
Gaziantep,Aktif,SH4,0.2,0.985949635,0.197189927,0.981549635,0.200896542
İzmir,Aktif,SH1,0.2,1.029477589,0.205895518,0.992077589,0.207539733
İzmir,Aktif,SH2,0.25,0.952477589,0.238119397,0.992077589,0.240020942
İzmir,Aktif,SH3,0.35,0.996477589,0.348767156,0.992077589,0.351552298
İzmir,Aktif,SH4,0.2,0.996477589,0.199295518,0.992077589,0.200887027
Kayseri,Aktif,SH1,0.2,0.9743,0.19486,0.9437,0.206485112
Kayseri,Aktif,SH2,0.25,0.9113,0.227825,0.9437,0.241416764
Kayseri,Aktif,SH3,0.35,0.9473,0.331555,0.9437,0.35133517
Kayseri,Aktif,SH4,0.2,0.9473,0.18946,0.9437,0.200762954
Konya,Aktif,SH1,0.2,0.975174349,0.19503487,0.944574349,0.206479109
Konya,Aktif,SH2,0.25,0.912174349,0.228043587,0.944574349,0.241424709
Konya,Aktif,SH3,0.35,0.948174349,0.331861022,0.944574349,0.351333934
Konya,Aktif,SH4,0.2,0.948174349,0.18963487,0.944574349,0.200762248
Mersin,Aktif,SH1,0.2,0.976647816,0.195329563,0.944347816,0.2068407
Mersin,Aktif,SH2,0.25,0.910147816,0.227536954,0.944347816,0.240946132
Mersin,Aktif,SH3,0.35,0.948147816,0.331851735,0.944347816,0.351408379
Mersin,Aktif,SH4,0.2,0.948147816,0.189629563,0.944347816,0.200804788
Adana,Aktif,SH1,0.2,0.987915219,0.197583044,0.950515219,0.207869416
Adana,Aktif,SH2,0.25,0.910915219,0.227728805,0.950515219,0.239584596
Adana,Aktif,SH3,0.35,0.954915219,0.334220327,0.950515219,0.351620174
Adana,Aktif,SH4,0.2,0.954915219,0.190983044,0.950515219,0.200925814
Eskişehir,Aktif,SH1,0.2,0.9956,0.19912,0.965,0.206341969
Eskişehir,Aktif,SH2,0.25,0.9326,0.23315,0.965,0.241606218
Eskişehir,Aktif,SH3,0.35,0.9686,0.33901,0.965,0.351305699
Eskişehir,Aktif,SH4,0.2,0.9686,0.19372,0.965,0.200746114
Samsun,Aktif,SH1,0.2,0.99,0.198,0.9594,0.206378987
Samsun,Aktif,SH2,0.25,0.927,0.23175,0.9594,0.241557223
Samsun,Aktif,SH3,0.35,0.963,0.33705,0.9594,0.351313321
Samsun,Aktif,SH4,0.2,0.963,0.1926,0.9594,0.200750469
Denizli,Planlanan,SH1,0.35,0.962103268,0.336736144,0.931853268,0.361361767
Denizli,Planlanan,SH2,0.2,0.885103268,0.177020654,0.931853268,0.189966231
Denizli,Planlanan,SH3,0.25,0.929103268,0.232275817,0.931853268,0.249262223
Denizli,Planlanan,SH4,0.2,0.929103268,0.185820654,0.931853268,0.199409778
Kocaeli,Planlanan,SH1,0.35,1.026172861,0.359160501,0.995922861,0.360630843
Kocaeli,Planlanan,SH2,0.2,0.949172861,0.189834572,0.995922861,0.190611723
Kocaeli,Planlanan,SH3,0.25,0.993172861,0.248293215,0.995922861,0.249309685
Kocaeli,Planlanan,SH4,0.2,0.993172861,0.198634572,0.995922861,0.199447748
Malatya,Planlanan,SH1,0.35,0.9307,0.325745,0.90595,0.359561786
Malatya,Planlanan,SH2,0.2,0.8677,0.17354,0.90595,0.191555825
Malatya,Planlanan,SH3,0.25,0.9037,0.225925,0.90595,0.249379105
Malatya,Planlanan,SH4,0.2,0.9037,0.18074,0.90595,0.199503284
Tekirdağ,Planlanan,SH1,0.35,0.973,0.34055,0.94275,0.361230443
Tekirdağ,Planlanan,SH2,0.2,0.896,0.1792,0.94275,0.190082206
Tekirdağ,Planlanan,SH3,0.25,0.94,0.235,0.94275,0.24927075
Tekirdağ,Planlanan,SH4,0.2,0.94,0.188,0.94275,0.1994166
Trabzon,Planlanan,SH1,0.35,0.9355,0.327425,0.91075,0.359511392
Trabzon,Planlanan,SH2,0.2,0.8725,0.1745,0.91075,0.191600329
Trabzon,Planlanan,SH3,0.25,0.9085,0.227125,0.91075,0.249382377
Trabzon,Planlanan,SH4,0.2,0.9085,0.1817,0.91075,0.199505902